id,win,difficulty,end_cause,mines_left,time
1,FALSE,expert,guess,16,97
2,FALSE,expert,misflag,16,94
3,FALSE,expert,misflag,47,59
4,FALSE,expert,misflag,91,8
5,TRUE,expert,skill,0,110
6,FALSE,expert,guess,48,56
7,FALSE,expert,guess,80,30
8,FALSE,expert,misflag,9,91
9,FALSE,expert,guess,29,83
10,FALSE,expert,misclick,69,41
11,FALSE,expert,guess,12,96
12,FALSE,expert,misflag,41,58
13,TRUE,expert,skill,0,105
14,FALSE,expert,misflag,5,105
15,FALSE,expert,guess,86,23
16,FALSE,expert,guess,97,3
17,FALSE,expert,misclick,43,57
18,TRUE,expert,skill,0,111
19,FALSE,expert,misclick,12,97
20,FALSE,expert,guess,37,72
21,TRUE,intermediate,skill,0,41
22,FALSE,intermediate,misflag,6,32
23,FALSE,intermediate,misflag,14,18
24,TRUE,intermediate,skill,0,42
25,TRUE,intermediate,skill,0,45
26,FALSE,intermediate,guess,5,39
27,TRUE,intermediate,skill,0,38
28,TRUE,intermediate,skill,0,38
29,FALSE,intermediate,misclick,21,14
30,FALSE,intermediate,misflag,2,31
31,FALSE,intermediate,guess,6,29
32,TRUE,intermediate,skill,0,36
33,TRUE,intermediate,skill,0,40
34,TRUE,intermediate,skill,0,41
35,TRUE,intermediate,skill,0,42
36,FALSE,intermediate,misflag,14,23
37,FALSE,intermediate,guess,40,2
38,TRUE,intermediate,skill,0,32
39,TRUE,intermediate,skill,0,37
40,TRUE,intermediate,skill,0,34
41,TRUE,beginner ,skill,0,7
42,TRUE,beginner ,skill,0,9
43,TRUE,beginner ,skill,0,7
44,TRUE,beginner ,skill,0,11
45,TRUE,beginner ,skill,0,9
46,TRUE,beginner ,skill,0,4
47,TRUE,beginner ,skill,0,9
48,TRUE,beginner ,skill,0,10
49,TRUE,beginner ,skill,0,8
50,TRUE,beginner ,skill,0,10
51,FALSE,beginner ,guess,10,2
52,TRUE,beginner ,skill,0,10
53,TRUE,beginner ,skill,0,10
54,TRUE,beginner ,skill,0,11
55,TRUE,beginner ,skill,0,10
56,TRUE,beginner ,skill,0,8
57,TRUE,beginner ,skill,0,11
58,TRUE,beginner ,skill,0,11
59,FALSE,beginner ,misclick,9,2
60,TRUE,beginner ,skill,0,9
61,FALSE,expert,guess,4,129
62,FALSE,expert,guess,18,83
63,FALSE,expert,misflag,81,15
64,FALSE,expert,guess,3,90
65,FALSE,expert,guess,19,91
66,FALSE,expert,guess,51,56
67,FALSE,expert,guess,48,56
68,FALSE,expert,misclick,61,37
69,FALSE,expert,guess,50,56
70,FALSE,expert,guess,21,84
71,TRUE,expert,skill,0,117
72,FALSE,expert,guess,16,84
73,FALSE,expert,guess,36,61
74,FALSE,expert,misflag,6,98
75,FALSE,expert,guess,79,15
76,FALSE,expert,misflag,13,75
77,FALSE,expert,guess,84,36
78,FALSE,expert,misflag,58,38
79,FALSE,expert,guess,14,73
80,FALSE,expert,guess,76,28
81,TRUE,intermediate,skill,0,37
82,TRUE,intermediate,skill,0,34
83,TRUE,intermediate,skill,0,41
84,TRUE,intermediate,skill,0,34
85,TRUE,intermediate,skill,0,35
86,TRUE,intermediate,skill,0,27
87,TRUE,intermediate,skill,0,42
88,TRUE,intermediate,skill,0,40
89,TRUE,intermediate,skill,0,35
90,TRUE,intermediate,skill,0,32
91,FALSE,intermediate,misflag,16,25
92,FALSE,intermediate,guess,8,31
93,FALSE,intermediate,guess,2,45
94,FALSE,intermediate,guess,7,38
95,TRUE,intermediate,skill,0,37
96,TRUE,intermediate,skill,0,37
97,TRUE,intermediate,skill,0,41
98,FALSE,intermediate,misflag,19,21
99,TRUE,intermediate,skill,0,32
100,TRUE,intermediate,skill,0,40
101,TRUE,beginner ,skill,0,8
102,TRUE,beginner ,skill,0,11
103,TRUE,beginner ,skill,0,9
104,TRUE,beginner ,skill,0,10
105,TRUE,beginner ,skill,0,12
106,FALSE,beginner ,misflag,3,4
107,TRUE,beginner ,skill,0,9
108,TRUE,beginner ,skill,0,9
109,FALSE,beginner ,guess,5,8
110,TRUE,beginner ,skill,0,10
111,TRUE,beginner ,skill,0,9
112,TRUE,beginner ,skill,0,9
113,TRUE,beginner ,skill,0,8
114,TRUE,beginner ,skill,0,10
115,TRUE,beginner ,skill,0,9
116,TRUE,beginner ,skill,0,10
117,TRUE,beginner ,skill,0,9
118,TRUE,beginner ,skill,0,8
119,TRUE,beginner ,skill,0,9
120,TRUE,beginner ,skill,0,9
121,FALSE,expert,misflag,52,40
122,TRUE,expert,skill,0,102
123,FALSE,expert,guess,75,31
124,FALSE,expert,guess,6,89
125,FALSE,expert,misflag,71,30
126,FALSE,expert,misflag,65,53
127,FALSE,expert,guess,62,36
128,TRUE,expert,skill,0,102
129,TRUE,expert,skill,0,101
130,FALSE,expert,misflag,79,21
131,FALSE,expert,guess,90,10
132,FALSE,expert,guess,85,20
133,FALSE,expert,guess,2,105
134,FALSE,expert,guess,27,76
135,FALSE,expert,guess,36,67
136,FALSE,expert,guess,44,58
137,FALSE,expert,guess,21,89
138,FALSE,expert,guess,71,31
139,TRUE,expert,skill,0,113
140,FALSE,expert,misclick,75,29
141,FALSE,expert,guess,39,68
142,FALSE,expert,misflag,40,57
143,TRUE,expert,skill,0,92
144,FALSE,expert,guess,59,50
145,FALSE,expert,guess,3,99
146,FALSE,expert,guess,21,78
147,FALSE,expert,misclick,84,21
148,FALSE,expert,guess,83,11
149,FALSE,expert,guess,36,72
150,TRUE,expert,skill,0,119